ra,dec,image
173.57088874999997,67.5,rs930514n00.public_contents
186.42536124999995,67.5,rs930515n00.public_contents
212.14179166666662,67.5,rs930517n00.public_contents
237.8544583333333,67.5,rs930519n00.public_contents
250.71268041666664,67.5,rs930520n00.public_contents
289.2835695833333,67.5,rs930523n00.public_contents
17.999999999999996,84.375,rs930201n00.public_contents
53.99999999999999,84.375,rs930202n00.public_contents
89.99999999999999,84.375,rs930203n00.public_contents
125.99999999999999,84.375,rs930204n00.public_contents
162.0,84.375,rs930205n00.public_contents
197.99999999999997,84.375,rs930206n00.public_contents
233.99999999999997,84.375,rs930207n00.public_contents
269.99999999999994,84.375,rs930208n00.public_contents
305.99999999999994,84.375,rs930209n00.public_contents
341.99999999999994,84.375,rs930210n00.public_contents
276.42536125,67.5,rs930522n00.public_contents
302.1417916666666,67.5,rs930524n00.public_contents
11.249999999999998,78.75,rs930301n00.public_contents
33.74999999999999,78.75,rs930302n00.public_contents
56.24999999999999,78.75,rs930303n00.public_contents
78.74999999999999,78.75,rs930304n00.public_contents
101.24999999999999,78.75,rs930305n00.public_contents
123.74999999999999,78.75,rs930306n00.public_contents
146.24999999999997,78.75,rs930307n00.public_contents
168.74999999999997,78.75,rs930308n00.public_contents
191.24999999999997,78.75,rs930309n00.public_contents
213.74999999999997,78.75,rs930310n00.public_contents
236.24999999999997,78.75,rs930311n00.public_contents
258.74999999999994,78.75,rs930312n00.public_contents
281.24999999999994,78.75,rs930313n00.public_contents
303.74999999999994,78.75,rs930314n00.public_contents
326.24999999999994,78.75,rs930315n00.public_contents
348.74999999999994,78.75,rs930316n00.public_contents
8.179430416666666,73.125,rs930401n00.public_contents
24.542041666666663,73.125,rs930402n00.public_contents
40.90840291666667,73.125,rs930403n00.public_contents
57.27102791666666,73.125,rs930404n00.public_contents
73.63363875,73.125,rs930405n00.public_contents
89.99999999999999,73.125,rs930406n00.public_contents
106.36261124999999,73.125,rs930407n00.public_contents
122.7252220833333,73.125,rs930408n00.public_contents
139.08784708333332,73.125,rs930409n00.public_contents
155.4542083333333,73.125,rs930410n00.public_contents
171.8168195833333,73.125,rs930411n00.public_contents
188.17943041666663,73.125,rs930412n00.public_contents
204.54204166666662,73.125,rs930413n00.public_contents
220.90840291666663,73.125,rs930414n00.public_contents
237.27102791666664,73.125,rs930415n00.public_contents
253.63363874999993,73.125,rs930416n00.public_contents
269.99999999999994,73.125,rs930417n00.public_contents
286.36261124999993,73.125,rs930418n00.public_contents
302.72522208333334,73.125,rs930419n00.public_contents
319.0878470833333,73.125,rs930420n00.public_contents
335.45420833333327,73.125,rs930421n00.public_contents
351.81681958333326,73.125,rs930422n00.public_contents
6.42536125,67.5,rs930501n00.public_contents
19.283569583333332,67.5,rs930502n00.public_contents
32.14179166666666,67.5,rs930503n00.public_contents
44.99999999999999,67.5,rs930504n00.public_contents
57.854458333333326,67.5,rs930505n00.public_contents
70.71268041666666,67.5,rs930506n00.public_contents
83.57088874999998,67.5,rs930507n00.public_contents
96.42536125,67.5,rs930508n00.public_contents
109.28356958333332,67.5,rs930509n00.public_contents
122.14179166666665,67.5,rs930510n00.public_contents
134.99999999999997,67.5,rs930511n00.public_contents
160.71268041666664,67.5,rs930513n00.public_contents
199.2835695833333,67.5,rs930516n00.public_contents
224.99999999999997,67.5,rs930518n00.public_contents
263.57088875,67.5,rs930521n00.public_contents
314.99999999999994,67.5,rs930525n00.public_contents
